Software Name,Actual Spelling
(ip telephony),vozelia ip telephony
(microsoft exchange),microsoft exchange
(zapier),zapier
123 form builder,123formbuilder
1shopping cart,1shoppingcart
360 view tracker,360 view crm
3kontakt,kontakt.io
8 x 8 phone systems,8x8
8x8 global could communications,8x8
abas,abas erp
abc financial,datatrak club management software
access,microsoft access
access ally,accessally
accessally,accessally
acomba,acomba x accounting suite
acord,acorde
act on,act-on
active campaign,activecampaign
active directory,microsoft azure active director
act-on marketing automation,act-on
acuity-scheduling,acuity scheduling
acutrack fulfillment & publishing integration,acutrack fulfillment
adespresso,adespresso by hootsuite
adobe experience,adobe experience manager
adp payroll,adp workforce now
adpoint for salesforce,adpoint
adpoint go,adpoint
advance group,advanced technology group
advent apx,advent portfolio exchange (apx)
afterbuy connect,afterbuy
agresso,unit4 for travel
airbnb,airbnb for work
airr,airr
akeneo,akeneo pim
aktion,aktion associates
alcatel omnipcx office,omnipcx office rce
alertfind,aurea alertfind
allstate lead marketplace,allstate identity protection
allwebleads,all web leads
alpha trust,alphatrust prontosign
amazon ses,amazon simple email service (amazon ses)
amazonconnect,amazon connect
ambition,ambition
amember pro,amember pro
american express,american express global business travel
anypoint platform,mulesoft anypoint platform
anywhere365,anywhere365 universal contact center connector for skype for business and lync
aoe,aoe gmbh
apache cassandra,managed apache cassandra
apd,apd group (next digital)
api+webhooks,webhooks.io
apple icloud calendar,ical
appnexus,appnexus marketplace
appy pie's connect,appy pie
archiva,apache archiva
asterisk ip-pbx,asterisk
audian,aweber
aussiefast,aussie
austrailia post,australia post
authorise.net,authorize.net
autoklose,autoklose
autoquotes,autoquotes
autorize.net,authorize.net
avalara,avalara
avalara tax,avalara
avaya aura call center elite,avaya aura call center elite multichannel
avg business,avg antivirus business edition
avis,aviso
avvo.com,avvo ignite
aweber communications,basecamp
awery erp,awery aviation erp
azure,microsoft azure
barbour abi,barbour logic
basecamp classic,basecamp
bbos,blackberry os
better proposals,better proposals
beyondpricing,beyond pricing
big,(big-ip)
big commerce,bigcommerce
big_commerce,bigcommerce
billbee connect,billbee
bitdefender antivirus,bitdefender antivirus plus 2020
black box corporation,black box network services
black diamond,extremeswitching
blackrock,blackrock profit sales consulting
bling!,bling.com.br
blisstribute connect,greyhound crm
blue snap,bluesnap
blue technologes,bluenet technologies
bluestar logistics,bluestar
bombbomb,bombbomb
booker by mindbody,mindbody
boomi,dell boomi
booth,booth leads
box.net,box
braintree,braintree
bronto,bronto marketing platform
business analyze for superoffice,superoffice crm
byzo connect,greyhound crm
c zentrix,c-zentrix contact center
call source,callsource
call_rail,callrail
calltracking metrix,calltrackingmetrics
callture virtual pbx,virtual pbx
cameron,berlin cameron
canias,canias erp
cardconnect,cardconnect
career builder,careerbuilder talent network
careerbuilder,careerbuilder applicant tracking
cartbounty,cart
channeladvisor,channeladvisor
channelonline (cnet),channelonline
chargebee,chargebee
chargeover,chargeover
chargify,chargify
chatfuel for facebook,chatfuel
cheddargetter,cheddar
chrome extension,chrome remote desktop
cisco,moneyguidepro
cisco webex,cisco webex meetings
ciso webex meetings,cisco webex meetings
clearout,clearout.io
cleverreach connect,cleverreach
clew,iclew
click bank,clickbank
click dimensions,clickdimensions
click funnels,clickfunnels
clickatell,clickatell touch
clickfunnels payment integration,clickfunnels
clicksend,clicksend sms gateway
clickup,clickup
cliently,cliently
clock,clock.in
clone deal,contus group clone software
cloudscanner,cloudscanr
clubready.com,clubready
cludes connect,greyhound crm
cocoon,cocoon media management
cognito,cognito forms
comarch erp,comarch erp xt
comet,comet.ml
communigate,communigate pro
comodo,comodo antivirus
connectwise,connectwise sell
constantcontact,constant contact
contact_form,contact form 7
contactually,contactually by compass
copley,copley consulting group
cpms,cpms
crazy-egg,crazy egg
cs cart,cs-cart multi-vendor
csb system,csb-system
customer 360,manthan customer360
dashboards,dashboards.io
data anonymizer,dot anonymizer
databasics,databasics time
databridge for superoffice,databridger
datev export,datev
dbx for pipeliner crm,dbx converter tool
deadline funnel,deadline funnel
dealine funnel,deadline funnel
dear,dear inventory
decision resources,"decision resources, inc."
dejaoffice,dejaoffice pc crm
deltek,deltek vision
demandbase,demandbase
demandware,salesforce b2c commerce
dialpad,dialpad talk
dibac,dibcase legal case management
digioh,digioh
digitalchina,digital china information service company/digital china cloud technology limited
displet,tribus source (formerly displet)
docker,docker platform
docu sign,docusign
docusing,docusign
donate2,donateq
dotdigital,dotdigital engagement cloud
dotmailer,dotdigital engagement cloud
drupal module,drupal
dst sales connect,dst salesconnect
d-tools,system integrator (si)
dxc technology,dxc.technology
dyl,dyl business phone service
dynacom,dynacom enterprise+ edition
dynamics 365,microsoft office 365
easybyb,easybib.com
echosign,adobe sign
e-conomic,e-conomic
e-conomics sync,economics partners
elavon,enterprise payment gateway
ellucian ethos,ellucian ethos
elo,eloq communications
eloqua,oracle eloqua
email blast,email blaster
email verification plugin,email verification in google sheets
emailpreview,emailpreview services
emoney advisor,emoney
envestnet moneyguide,moneyguidepro
envestnet tamarac,tamarac
epicor,epicor erp
ericsson,ericsson bscs ix
etsy,etsy hound
evalinator,e-valuator
eventbooking,eventbookings
eventbrte,eventbrite
exato,exato software
excel,microsoft excel
exchange calendar,microsoft exchange
exchange calendar.,microsoft exchange
exchange server,ark for exchange server
exo business,exonetworx
expensify,expensify
extranet,sp extranet portal
facebook,facebook
facebook adverts manager,facebook ads manager
facebook connect button,facebook
fakturownia.pl,fakturownia
fatture in cloud,fatture in cloud
fax,fax.to
fedex,fedex ship manager
fieldglass,sap fieldglass
file manager,digital file manager
filemaker,the filemaker platform
fileopen,fileopen rightsmanager
fireflies,fireflies.ai
fireflies.ai - recording & transcription,fireflies.ai
firstdata,firstdata
florify,floify
flow xo,flow xo for workflow
fomo,fomo
fonality,netfortris unified communications
formstack documents,formstack documents (formerly webmerge)
forum,forum west loop
freeagent,freeagent
freepbx,freepbx hosting
freshbooks,freshbooks
fresh-books,freshbooks
freshsales for web,freshsales
fujitsu,fujitsu learning media
fujitsu social science labratories,fujitsu learning media
full contact,fullcontact apis
fullcontact,fullcontact apis
fullcontact card reader,fullcontact apis
g suite email & calendar sync,g suite
galleria,art galleria
gdpr dashboard and reporting,general data protection regulation
get accept,getaccept
getaccept for superoffice,getaccept
gleanview’s api,gleanview
globaldata,globaldatanet
go_to_webinar,gotowebinar
gocanvas - mobile forms,gocanvas business apps and solutions
google address lookup,google maps api
google admanager,google ad manager
google adwords,google ads
google apps & g suite,g suite
google caledar,google calendar
google chrome extension,chrome remote desktop
google cloud print,google cloud private catalog
google data studio (teams),google data studio
google drve,google drive
google form,google forms
google hangouts chat bot,google hangouts chat
google map,google maps api
google maps,google maps api
google meet,google hangouts chat
google resources,google cloud resource manager
google task,google cloud tasks
google tasks,google cloud tasks
google/apple calendar,google calendar
googledrive,google drive
google-kalender.,google calendar
goto meeting,gotomeeting
gotowebinar,gotowebinar
gravity fors,gravity forms
gravityforms,gravity forms
greenrope's api,greenrope
greyhound connect for datev,greyhound technologies/greyhound crm
groupon crm,groupon
gsuite,g suite
gumroad,gumroad
gusto,gusto payroll
happyfoxchat,happyfox chat
hello-bar,hello bar
helpscout,help scout
hgs,hgs digital
higher logic,higher logic marketing automation enterprise
hubspot,hubspot marketing hub
hubspot marketing,hubspot marketing hub
ibm watson,ibm watson studio
icloud,apple icloud
idx,idx broker
ifs,ifs alliance
imanage,imanage work
inbound now,inboundjunction
inbox 25,inbox25
infor lx (bpcs),infor lx
infor syteline (manufacturing),infor cloudsuite industrial (syteline)
infor visual (manufacturing),infor visual
infusionsoft,keap (formerly infusionsoft)
inorder integration,inorder
insideview api,insideview
insightly,insightly crm
intelliclicks,intelliclick
"interact, the quiz collective inc",interact
intermedia anymeeting,anymeeting video conferencing
internal note,internal
intuit QuickBooks Online,quickbooks online
intuto - learning management system,intuto
invoiceberry,invoiceberry
ios calendar,ical
ios tasks,ical
ipswitch,ipswitch moveit & ipswitch whatup gold
iq navigator,iqnavigator
iq retail,iqbusiness
iqms,iqms erp
iquotexpress,iquote xpress
issuu,issuu collaborate
jd edwards,oracle jd edwards enterpriseone
jd edwards/oracle,oracle jd edwards enterpriseone
jdedwards,oracle jd edwards enterpriseone
jira software,jira
jiva interactive intranet,jive interactive intranet
jive,jive interactive intranet
joomla cms extension,joomlalms
just,just host
juvo leads,juvo leads full service chat & call tracking
k8,kerridge k8
kanban board,sharepoint kanban board by virto
kanban tool,kanban tool
kaseya,kaseya vsa
kash flow,kashflow
kashflow,kashflow
kaspersky,kaspersky antivirus
kbc,kpc business centre
keap,keap (formerly infusionsoft)
keen,keen.io
keep in touch,keep in touch builders
kendo email finder,kendo email finder
kerioconnect,kerio connect
kickbox.io,kickbox
kiu,kiu res
kixie,kixie powercall
kloudless,kloudless calendar api
knowlarity,knowlarity ivr
knowledgesync,knowledgesync
konica minolta,docpoint solutions (konica minolta company)
lancom,lancom vpn
landingcube,landingcube
leadcrunch,leadcrunch ai
leadenhancer for superoffice,leadenhancer
leadexplorer for superoffice,leads explorer
leadpaes,leadspedia
lean swift,leanswift solutions
learn dash,learndash
learnworlds,learnworlds
lessaccounting,lessaccounting
lexware,haufe-lexware gmbh & co. kg
liana mailer,lianamailer
liferay,liferay digital experience platform
limo anywhere,limo anywhere
linkedin,linkedin premium
linkedin leads,linkedin sales navigator
linkedin sales navigator,linkedin sales navigator
linkem,linkemu
linux,oracle linux
lithium,lithium hosting
litmus,litmus
livechat software,livechat
logmein,logmein central
loqate,the loqate platform
loqate gbg,the loqate platform
lutech pivotal,lutech
mac calendar,ical
mach ship,machship
macmail,apple email
macos mail,apple email
magento,magento open source
magneticone mobile,magneticone mobile business card reader
mail chimp,mailchimp
mail merge,mail merge for g suite
mailboxlayer,mailboxlayer api
mailchimp forms,mailchimp
maitre,maitre'd
mammoth hr,mammoth
mandrill,mailchimp transactional email (formerly mandrill)
mannai,mannai trading company
marcom central,marcomcentral
mastercard,mastercard blockchain
meetup,meetup pro
mega call,megacall
meister task,meistertask
memberpress,memberpress
meridianlink,loanspq
micosoft one drive,microsoft onedrive for business
micro focus,micro focus alm quality center
microsoft apps,microsoft power apps
microsoft azure ad,microsoft azure active directory
microsoft azure email,microsoft azure active directory
microsoft azure sql database,sql server to azure database migrator
microsoft dynamic nav,microsoft dynamics nav
microsoft dynamics,microsoft office 365
microsoft dynamics 365,microsoft office 365
microsoft dynamics c5,microsoft dynamics nav
microsoft dynamics crm,microsoft dynamics 365 sales
microsoft excel,microsoft excel
microsoft excel corp.,microsoft excel
microsoft exchange calendar,microsoft exchange
microsoft exchange email,microsoft exchange
microsoft exchange server online,microsoft exchange
microsoft lync,anywhere365 universal contact center connector for skype for business and lync
microsoft office 365,microsoft office 365
microsoft office 365 calendar,microsoft outlook
microsoft office 365 contact,microsoft office 365
microsoft office 365 email & calendar sync,microsoft office 365 consulting
microsoft office 365 microsoft outlook,microsoft outlook
microsoft one drive,microsoft onedrive for business
microsoft onedrive,microsoft onedrive for business
microsoft outlok,microsoft outlook
microsoft outlook,microsoft outlook
microsoft outlook 2013,microsoft outlook
microsoft outlook 365,microsoft outlook
microsoft outlook addin,microsoft outlook
microsoft outlook calendar,microsoft outlook
microsoft outlook contacts,microsoft outlook
microsoft outlook exchange.,microsoft outlook
microsoft outlook lead clipper,microsoft outlook
microsoft outlook online (api),microsoft outlook
microsoft outlook plugin,microsoft outlook
microsoft outlook/google calendar,microsoft outlook
microsoft outlook365,microsoft outlook
microsoft power bi,microsoft power bi desktop
microsoft sql server,microsoft sql
microsoft word,microsoft word
microsoft-dynamics,microsoft office 365
microtech,ace microtechnology
mitel,mitel revolution
miva volusion,miva
mobiweb,mobiweb technologies
mode analytics,modern analytics
monda go,good monday
monday,monday
moodle,moodle
mountaintop data,mountaintop data
mpzmail,mpzmail email marketing
ms dynamics 365,microsoft office 365
ms dynamics gp,microsoft dynamics gp
ms dynamics nav,microsoft dynamics nav
ms excel,microsoft excel
ms office,microsoft office
ms onedrive,microsoft onedrive for business
ms onedrive for business,microsoft onedrive for business
ms outlook,microsoft outlook
ms powerpoint,microsoft powerpoint
ms teams,microsoft teams
ms word,microsoft word
ms-dynamics,microsoft office 365
mulesoft,mulesoft anypoint platform
my cloud bazaar,mycloudbazaar
mycrm,mycrmdashboard
myob,myob
my-operator,myoperator
nab,nab payment processing/nab velocity
nable,nable emr
navision,inoday - navision provider
navotar fleet management system,navotar
nec,nec implementation services
newegg,newegg inc.
nexmo,vonage communications apis (formerly nexmo)
nice in contact,nice incontact
niftyquoter,niftyquoter
nimble crm,nimble
ninjaforms,ninja forms
nintex drawloop,nintex drawloop docgen® for salesforce
north american bancard,nab payment processing
nrg,nrgship
nusii proposals,nusii
nutshell crm,nutshell crm for g suite
octoboard,octoboard for business
octopus,octopus
office +,microsoft office 365
office 365,microsoft office 365
office suite,officesuite
office365,microsoft office 365
officework,officework office online
okta single sign-on,okta
omnifocus,omnifocus
on contact,oncontact crm
one click politics,one click politics
onedrive,microsoft onedrive
oneflow for superoffice,oneflow
onenote,microsoft onenote
open cart,opencart
open office,openoffice
open street map,openstreetmap
opencart integration,opencart
openedge,progress openedge
opentable,opentable connect
opt-intelligence,opt intelligence
opus capita,opuscapita source-to-pay
oracle db,oracle database
oracle financial,oracle financials cloud
oracle fusion,oracle ebs
oracle jd edwards,oracle jd edwards enterpriseone
oracle sales cloud,oracle engagement cloud
outfunnel,outfunnel
outlook,microsoft outlook
outook,microsoft outlook
outreach,outreach
ozonetel,ozonetel cloudagent
panasonic,panasonic solution technologies
panda docs,pandadoc
paymentech,orbital payment gateway
peachtree,sage 50cloud accounting
peoplesoft,oracle peoplesoft
pestroutes,pestroutes
phonero,phonerescue
pie sync,piesync
piesync,piesync
pipeliner,pipeliner crm
pipl,pipl professional people search
pipz automation,pipz
pivotal,pivotal crm
planso,planso leads
playable,playable
plentymarkets connect,plentymarkets
plex,plex
plivo.com,plivo
plone,plone cms
pluga,plug&paid
podia,podia
podio,citrix podio
pointcentral,calyx pointcentral
portabilling,portabilling
postcode anywhere,pocanywhere
power bi,microsoft power bi desktop
poweroffice,poweroffice for grantmakers
precise fp,digital advertising platforms
presta shop,prestashop
prestashop,prestashop
prestashop connect,prestashop
procad,progecad
project manager,projectmanager
pure 360,pure360
purechat,pure chat
qad,qad adaptive erp
qlik,qlik sense
qualtrics,qualtrics core xm
quick books,quickbooks online
quickbase,quickbase
QuickBooks Online,quickbooks online
QuickBooks Online data,quickbooks online
QuickBooks Online desktop,quickbooks online
QuickBooks Online enterprise,quickbooks online
QuickBooks Online offline,quickbooks online
QuickBooks Online online,quickbooks online
QuickBooks Online online (api),quickbooks online
QuickBooks Online online by mirasync,quickbooks online
QuickBooks Online payment,quickbooks online
QuickBooks Onlineonline,quickbooks online
quotient,quotient
rackspace,rackspace managed cloud
raid,raid dp
rakuten connect,rakuten marketing
rchilli,rchilli
rcs airwaves,rcs compas
react native/flutter/ios/android,react native
reactjs,reactjs development services
realex,realex
reamaze,re:amaze
redsky,e911 manager
redtail,redtail crm
rentals united,rentals united
revv,revv
rezdy,rezdy
ring central,ringcentral office
ring_central,ringcentral engage
ringcentral,ringcentral office
riva,riva crm integration/riva cloud/riva for google apps
rocketreach.co,rocketreach
rss,rss
rt telephony,rt telephony
runrun.it,runrun.it
saasu,saasu
safely,safely
sage,sage intacct
sage 50,sage 50cloud accounting
sage business cloud,sage business cloud x3
sage business cloud accounting (uk),sage business cloud accounting
sage one,sage 100cloud
sageact,sage intacct
sagepay,sagepay
sales force,salesforce crm
sales manago,salesmanago
sales rabbit,salesrabbit
salesexec,salesexec
salesforce,salesforce crm
salesforce classic,salesforce lightning platform
salesforce exact target,salseforce
salesforce lightning,salesforce lightning platform
salesforce lightning ui,salesforce lightning platform
salesforce marketing cloud,salesforce marketing cloud consulting services
salesforce sales cloud,salesforce service cloud
salesfore,salesforce crm
salesloft,salesloft
saleslogix,customerfx
samanage,solarwinds service desk
samcart,samcart
sap,sap erp
sap business objects,sap businessobjects business intelligence (bi)
sap s/4hana,sap s/4hana
satnav,quickfms
scanning,scanning america
schedule it,schedule it - resource scheduling software
schedule once,scheduleonce
scs/track,scs inc.
segmetrics,segmatix
selly,selly automotive
send grid,twilio sendgrid email api/twilio sendgrid marketing campaigns
send sms,sendsms
sendgrid,twilio sendgrid email api
sendowl,sendowl
sendy (aws ses),sendy
sensei,sensei ppm jumpstart
servicenow,servicenow now platform
share point,sharepoint
sharepoint,microsoft sharepoint
shiksha,e-serve shiksha
shipcloud,containership cloud
shiprush,shiprush
shopify,shopify
shopify connect,shopify
shopp,shopp
showpad,showpad content
simplycast,simplycast 360
simplyeasierpayments,simply easier payments
skience,skience platform
sku vault,skuvault
skydrive,microsoft onedrive for business
skype call,skype
skype for business,skype
skype/jajah/sip,skype
slack chat bot,slack
smart office,smartoffice
smart survey,smartsurvey
smc,smc platform
smith.ai,smith.ai virtual receptionists
sms api,sms api platform
sms77,sms77.io
snap engage,snapengage
snapaddy,snapaddy grabber
social crm,flowcrm social crm
sofa helpdesk,sofa
sokrates,sokrati
solidify,solidify cpq
solutions infini,solutions infini voice application
solve,solve 360
solve360,solve 360
sote,soteshop
spiffy,spiffy
sql server,sql server 2019
square,square e-commerce
stat,sas/stat
stealthwebinar,stealthseminar
strait,straits research
stripe,stripe payments
sugar crm,sugar sell
sugar market,sugar market
sugar market,salesfusion
sugarcrm,sugar sell
summit evergreen,summit event manager
sumome,sumo
super_receptionist,super receptionist
superoffice for microsoft outlook,superoffice crm
supersaas,supersaas appointment scheduling
survey monkey,surveymonkey
surveyanyplace,survey anyplace
swla connected,swla connection
swot,swot
swyx,swyxware
swyx solution ag,swyxware
symphony crm,erp software
synergy,synergy
synnex corporation,synnex corporation
synolia,synolia agence e-commerce
syteline,infor cloudsuite industrial (syteline)
ta crm,tap crm
teamwork,teamwork
teamwork projects,teamwork
tech data technology solutions,tech data
tecnom,tecnomatix
telavox,televox engage
telax,intermedia contact center (formerly telax)
text anywhere,test anywhere
tidio chat,tidio
tidybuild,tidy build
tidyenterprise,tidymktr
tidywork,tidywork
tilkee,tilkee
time trade,timetrade
timehero,timehero
tint,tint by filestack
tokko,tokko broker
topgate,topgate
touchstone,touchstone business system
transtex,text edit plus
traxpayroll,traxtimecard
tray platform,tray
trello,trello
twilio call,twilio
twilio sms,twilio
twillio,twilio
two-way integration with microsoft outlook calendar,microsoft outlook
uber conference,uberconference
udemy,udemy
ultracart shopping cart,ultracart
ups,ups supply chain solutions
usps,usps & international address validation services
vacayhome connect,vacaystay connect
vagent,v-agent
vantiv,vantiv iq
vasco,onespan
vectra,vectra ai
velocify,velocify lead manager
vera,vera security
verified,verified reviews
verifone,veriforce safety compliance management
versapay,versapay arc
viral sweep,viralsweep
virtua,virtua ils
virtuemart,virtuemart
visa,visa b2b connect
visma,visma.net payroll standard
visma e-conomic,e-conomic
visma eekonomi,e-conomic
visma.net,visma.net payroll standard
visualk,visual k
vmware zimbra,zimbra collaboration
vodia,vodia pbx
vwo,vwo testing
weather underground,the weather company
webex,cisco webex meetings
webhooks,webhooks.io
webinar jam,webinarjam
webmerge,formstack documents (formerly webmerge)
webmerge,formstack documents
webtrends,webtrends optimize
weebly,square e-commerce (formerly weebly)
westcon group,westcon-comstor
westcon-comstor-synnex,westcon-comstor
wheelhouse,wheelhouse pricing
whmcs,whmcs
wice,wice crm
wirecard,wirecard
wishlist member,wishlist member
wistia,wistia
